pre,2W,4W,6W,8W,10W,12W,label
77.83,,0.026,,,,0.003,0
5.37,0.123,,0.168,,,0.296,0
23.29,0.192,,0.027,,,0.06,0
20,,,0.06,,,0.035,0
4.66,0.122,0.01,,0.01,,0.01,0
14.28,0.628,,,,,0.13,0
5.4,0.16,0.003,,,0.038,,0
13.016,0.361,0.088,0.053,,0.072,,0
14.989,0.137,,0.01,,,0.24,0
37.069,0.862,0.049,,,0.01,,0
31.91,1.229,,0.016,,0.006,0.016,0
10.864,0.365,,0.154,,,,0
73.481,5.131,0.345,0.1,,0.32,,0
10.035,0.422,0.098,0.105,,0.2,,0
21.91,0.547,,0.04,,,0.126,0
46.2,1.628,0.269,0.179,,0.168,0.222,0
214,0.022,0.01,0.017,,0.024,0.037,0
6.78,0.211,0.027,0.009,,,0.009,0
10.5,0.246,0.024,0.195,,0.251,,0
8.3,0.309,0.022,0.008,,0.002,,0
27.75,0.76,0.11,0.1,,0.14,,0
5.1,0.3,0.089,,,,0.082,0
8.439,0.308,,0.025,,,0.026,0
16.93,0.6,0.22,0.163,0.187,,0.208,0
43.673,1.556,0.253,0.185,,0.289,,0
8.573,0.205,0.024,0.013,,0.007,0.009,0
16.85,0.39,0.06,0.05,,0.06,0.07,0
56.175,1.967,,0.06,0.075,,0.15,0
28,0.38,0.04,0.01,0.003,,0.01,0
41.28,0.68,0.14,0.108,,0.17,,0
9.6,0.165,0.035,0.04,,0.072,,0
9.44,0.36,0.13,0.123,,,0.23,0
17.722,0.64,0.068,0.024,,,0.06,0
15.34,0.318,0.041,0.033,,,,0
21.78,0.806,0.11,0.15,,,0.09,0
13.284,0.377,0.02,0.005,,,,0
23.11,0.78,0.08,0.05,0.07,,0.11,0
13.99,0.19,0.05,,0.04,,,0
11.82,0.41,0.048,,0.04,,0.05,0
19.27,0.479,,0.201,,,,0
11.4,1.5,1.06,1.02,,,,0
71,1.85,0.275,,,,,0
13.9,,0.2,,,,,0
52.625,,,,12.382,,,0
20.253,5.362,4.91,,,0.28,0.13,0
39.63,,,8.391,,,,0
5.68,,0.6,0.373,,,,0
48.5,2.338,1.91,,,2.5,,0
18.45,1.65,0.99,0.853,,,,0
15.92,0.94,1.26,1.169,,,,0
104.369,1.2,0.714,0.915,,,,0
10.759,,,0.777,,,,0
62.4,2.8,2.42,8.175,,,,0
11.34,1.91,1.953,,,2.43,,0
27.38,7.63,5.78,5.56,,,,0
17.7,,7.5,,4.1,,,0
42.864,1.338,0.365,,,0.434,,0
71.53,3.821,2.764,,,3.12,,0
28.1,0.078,,0.34,,,,0
14.591,1.163,,,3.81,,,0
32.4,1.132,,,,,0.29,0
105.21,5.17,3.455,2.606,,,,0
79.97,4.292,5.31,6.75,,,,0
85.763,4.889,1.995,3.949,,,,0
100.448,,,1.95,,,,0
35,,3.67,2.81,,,,0
675.53,,296.798,,,,,0
205,0.139,1.93,5.82,,,,0
71.1,9.22,7.688,17.601,,,,0
37.5,8.08,4.48,3.52,,,,0
188.7,5.4,1.143,0.904,,,,0
31.377,7.897,15.091,,,,,0
74.38,0.089,0.129,0.477,,,,0
17.46,2.167,1.62,,,,2.19,0
30.286,19.768,,16.01,,,,0
17.67,2.309,1.071,1.023,,,,0
57.009,1.316,0.375,0.243,0.361,,,0
47.911,29.436,20.57,18.501,,,,0
18.644,2.785,3.591,4.155,,,,0
45.328,0.96,0.229,0.203,,0.225,,0
72.39,4.128,2.954,,,2.77,,0
15,2.95,2.601,2.441,,,,0
38,1.053,0.303,0.21,0.218,,,0
70.67,6.244,5.79,,,,,0
22.02,0.65,0.33,0.31,,0.31,,0
21.32,1.62,0.677,0.674,,,,0
27.3,1.96,1.18,0.97,,,,0
25.769,2.394,1.577,,,1.678,,0
20.3,1.854,1.603,1.821,,,,0
121.277,3.037,,1.605,,,,0
26.3,1.455,0.895,0.878,,,,0
19.377,0.32,0.32,,,,,0
10.56,0.439,,,,,0.35,0
38.67,2.171,2.098,3.05,,,,0
17.896,1.71,0.47,,,0.376,,0
52.92,2.65,1.65,,,,,0
36.816,13.088,11.158,12.776,,,,0
17.409,1.208,0.378,0.268,,,,0
204,10.263,,1.88,,2.38,,0
213.146,8.618,1.283,0.642,,,,0
39.37,2.4,1.74,1.52,,,,0
46.8,0.721,0.426,0.457,,,,0
133,12.05,,11.78,,,,0
27.881,1.793,1.47,1.438,,,,0
80.5,2.409,0.546,0.432,,,,0
9.489,0.432,,0.435,,,,0
9.66,0.228,0.023,0.003,0.004,0.009,,1
4.79,0.102,,,0.003,,,1
9.34,0.26,0.01,,0.003,,,1
9.7,,,,0.003,,,1
,,,,0.003,,,1
1.68,0.003,,,0.003,,,1
16.5,0.166,0.012,,,,,1
29.815,0.342,0.051,,0.046,,,1
8.964,0.076,0.018,,0.009,,,1
11.22,0.22,0.006,,0.001,,,1
4.5,0.094,0.008,,0.004,,,1
29.353,1.087,0.041,0.001,,,,1
7.489,0.39,,0.009,,0.002,,1
2.64,0.089,,0.006,,0.003,,1
14.9,0.375,,0.05,,,,1
29.43,0.073,,0.014,,0.011,,1
39.71,0.392,,0.001,,0.003,,1
3.51,0.114,0.004,,0.002,,,1
56.15,0.279,0.047,,0.006,,,1
13.5,0.218,0.011,,0.002,,,1
17.27,0.18,0.009,,0.001,,,1
5.7,0.094,,0.001,,,0.003,1
6.07,0.265,0.03,,0.05,0.05,,1
21.68,0.05,,0.003,,0.002,,1
16.027,,0.04,0.02,,0.019,,1
9.01,0.397,,0.01,,0.05,,1
6.453,,0.011,,,0.001,,1
21.8,0.463,0.03,0.008,,0.004,,1
12.017,0.663,0.055,0.006,,0.003,,1
6.67,0.109,,0.007,,0.03,,1
7.441,0.154,0.01,0.002,,0.001,,1
4.528,0.441,0.052,0.01,,0.002,,1
23,0.128,0.009,0.002,,0.005,,1
545,0.148,,,,,,1
11.35,0.394,0.037,0.007,,0.04,,1
4.43,0.124,0.012,0.002,,0.001,,1
25.58,1.094,0.099,0.014,,0.003,,1
1.26,0.05,,0.03,,,,1
12.43,0.347,0.022,0.004,0.002,,,1
13.98,0.354,,,,,,1
4.94,0.169,0.022,0.004,,0.014,,1
12.66,0.354,0.033,0.007,,0.005,,1
37.5,,0.109,,0.01,,,1
7.1,0.183,0.011,0.002,,,,1
3.96,0.298,0.024,0.005,,,0.002,1
5.51,0.116,0.01,0.001,,,,1
16.748,0.52,0,0,,,,1
10.413,0.591,0.052,0.008,,,,1
4.799,0.19,0.008,,,0,,1
5.9,0.301,0.039,0.002,,0.001,,1
14.649,0.657,,0,,,,1
9.77,,0.33,0.06,,0.02,,1
12,0.447,0.043,0.005,,,,1
11.61,,,0.001,,,,1
7.025,0.303,0.007,0.001,,0.001,,1
6,0.379,,0.01,,,,1
29.054,1.084,,0.006,,,,1
15,0.001,,0.001,,,,1
8.432,0.239,0.026,0.004,,0.002,,1
4.59,0.024,0,0,,,,1
5.58,,0.049,,0.001,,,1
12.1,0.463,,,,0.004,,1
11.181,0.08,0.001,,0.001,,,1
9.8,0.527,0.04,0.008,,,,1
7.91,0.56,0.03,,0.01,,,1
14.37,0.484,0.041,0.006,,0.001,,1
6.1,0.308,0.03,0,,,,1
3.65,0.058,0.001,,,,,1
6.444,0.02,0.001,,0.003,,,1
28.424,0.296,0.042,0.015,,,,1
14.121,0.435,,0.006,,,,1
13.687,0.406,0.029,0.006,,,,1
38.453,0.844,0.001,0,,,,1
29.595,1.443,0.087,,,0.004,,1
4.4,0.226,0.028,,0.01,,,1
33.148,2.02,0.128,,0.004,,,1
6.246,0.273,0.032,0.009,,,,1
9.02,0.244,,0.01,,,,1
9.971,0.66,0.12,0.04,,,,1
15.7,0.55,,0.01,,,,1
6,0.358,0.04,0.01,,,,1
12.762,0.028,0.026,0.013,,,,1
14.224,0.193,0.016,,,,,1
9.1,0.259,0.01,0.01,,,,1
14.343,0.302,0.039,0.01,0.004,,,1
20,0.612,0.062,0.012,,,0.003,1
12.65,0.894,0.07,0.01,,,,1
12.156,0.252,0.015,0,,,,1
8.526,0.243,0.022,0.004,,,,1
44.14,0.65,0.015,0.003,,,,1
8.4,0.293,0.025,0.002,,,,1
16,0.698,0.07,0.03,,,,1
12.1,0.448,0.03,,0,,,1
85.92,0.538,0.049,0.008,,,,1
13.366,0.255,0.016,0.001,,,,1
8.573,0.141,0.01,0.002,,0.001,,1
12,0.193,0.023,0.01,,,,1
77.705,1.474,0.107,0.007,,,,1
29.24,0.931,0.11,0.02,,,,1
10.695,0.25,0.018,0.004,,,,1
7.196,0.09,,0.01,0.003,,,1
11.8,0.107,0.019,0.007,,,,1
16.76,0.382,0.062,0.018,,,,1
7.28,0.158,0.015,0.002,,,,1
13.37,0.674,0.04,0,,,,1
34,0.204,0.012,0.001,,,,1
10.79,,0.014,0.003,,,,1
64,2,0.11,,0.02,,,1
23.85,0.921,0.075,0.004,,,,1
14.11,0.576,0.091,0.036,,,,1
20.32,0.529,0.043,0.007,,,,1
7.82,0.26,0,0,,,,1
14.82,0.21,0,0,,,,1
18.542,1.151,0.14,0.032,,,,1
7.11,0.185,0.014,0.002,,,,1
10.515,0.581,0.072,0.008,,,,1
8.16,0.384,0.03,0.006,,,0,1
21,0.64,0.06,0.11,,,,1
15.3,,0.05,0.001,,,0.003,1
23,0.75,0.11,0.03,,,,1
14.205,,,0.015,,0.012,,1
